Solar Radiation (Clear Sky),Air Temperature,Dew Point Temperature,Wet Bulb Temperature ,Humidity,Wind Speed,Day of Week,Month,Solar Radiation (All Sky)_Lag_1,Air Temperature_Lag_1,Humidity_Lag_1,Wind Speed_Lag_1,Solar Radiation (All Sky)_Lag_2,Air Temperature_Lag_2,Humidity_Lag_2,Wind Speed_Lag_2,Solar Radiation (All Sky)_Lag_3,Air Temperature_Lag_3,Humidity_Lag_3,Wind Speed_Lag_3,Temp_Rolling_Mean,Humidity_Rolling_Mean,Wind Speed_Rolling_Mean,Fourier_Transform_Solar_Radiation,Solar Radiation (All Sky)
0.759196706,0.801658031,0.464195663,0.72729927,0.202380952,0.410839161,2.0,10.0,0.840716949,0.804352332,0.209750567,0.392482517,0.888989572,0.797098446,0.223922902,0.370629371,0.900503838,0.781139896,0.244897959,0.340034965,0.6318221072083333,0.3113425925833333,0.2662441725,112.5122913466206,0.755676481
0.65489463,0.789430052,0.460917801,0.717080292,0.200113379,0.424825175,2.0,10.0,0.755676481,0.801658031,0.202380952,0.410839161,0.840716949,0.804352332,0.209750567,0.392482517,0.888989572,0.797098446,0.223922902,0.370629371,0.6316493956250001,0.3046815948749999,0.2699227855416666,97.17533148345905,0.650306952
0.548362763,0.765388601,0.46318709,0.701313869,0.202380952,0.412587413,2.0,10.0,0.650306952,0.789430052,0.200113379,0.424825175,0.755676481,0.801658031,0.202380952,0.410839161,0.840716949,0.804352332,0.209750567,0.392482517,0.6313212436250001,0.2988473167083333,0.2732736014166666,94.36117101988944,0.545791386
0.479713638,0.681450777,0.469490671,0.645839416,0.207482993,0.277972028,2.0,10.0,0.545791386,0.765388601,0.202380952,0.412587413,0.650306952,0.789430052,0.200113379,0.424825175,0.755676481,0.801658031,0.202380952,0.410839161,0.6304835925,0.2938161375416667,0.2748033217083334,121.71722001913652,0.479476426
0.473949388,0.632746114,0.47730711,0.616058394,0.213151927,0.305944056,2.0,10.0,0.479476426,0.681450777,0.207482993,0.277972028,0.545791386,0.765388601,0.202380952,0.412587413,0.650306952,0.789430052,0.200113379,0.424825175,0.6295595855833334,0.289682539625,0.2758231352499999,93.53423143689152,0.473949388
0.473949388,0.611606218,0.483862834,0.604963504,0.218253968,0.312062937,2.0,10.0,0.473949388,0.632746114,0.213151927,0.305944056,0.479476426,0.681450777,0.207482993,0.277972028,0.545791386,0.765388601,0.202380952,0.412587413,0.62864421425,0.2865646257916667,0.27582313525,117.59257952948016,0.473949388
0.473949388,0.590051813,0.490418558,0.593576642,0.223356009,0.309440559,2.0,10.0,0.473949388,0.611606218,0.218253968,0.312062937,0.473949388,0.632746114,0.213151927,0.305944056,0.479476426,0.681450777,0.207482993,0.277972028,0.6277374784583333,0.2844151548749999,0.274839743625,118.21795553602844,0.473949388
0.473949388,0.569119171,0.498739284,0.583649635,0.23015873,0.298076923,2.0,10.0,0.473949388,0.590051813,0.223356009,0.309440559,0.473949388,0.611606218,0.218253968,0.312062937,0.473949388,0.632746114,0.213151927,0.305944056,0.6269343696666666,0.2827853362916667,0.273200757625,118.02221880005276,0.473949388
0.473949388,0.550051813,0.509329299,0.576350365,0.238662132,0.27972028,2.0,10.0,0.473949388,0.569119171,0.23015873,0.298076923,0.473949388,0.590051813,0.223356009,0.309440559,0.473949388,0.611606218,0.218253968,0.312062937,0.6262953368333334,0.2812499999583333,0.2714160839583333,87.90866737191268,0.473949388
0.473949388,0.535129534,0.52193646,0.573138686,0.248866213,0.254370629,2.0,10.0,0.473949388,0.550051813,0.238662132,0.27972028,0.473949388,0.569119171,0.23015873,0.298076923,0.473949388,0.590051813,0.223356009,0.309440559,0.6259240069583334,0.2795020785416666,0.2695221445416667,109.57421405225108,0.473949388
